id,prestacion_Id_id,codCIE10_Id_id
265,NM010472,M42.05
266,NM010472,M42.09
267,NM010472,M42.19
268,NM010472,M43.01
269,NM010472,M43.02
270,NM010472,M43.04
271,NM010472,M43.06
272,NM010472,M43.07
273,NM010472,M43.09
274,NM010472,M43.10
275,NM010472,M43.12
276,NM010472,M43.15
277,NM010472,M43.16
278,NM010472,M43.17
279,NM010472,M43.19
280,NM010472,M43.21
281,NM010472,M43.22
282,NM010472,M43.23
283,NM010472,M43.24
284,NM010472,M43.25
285,NM010472,M43.26
286,NM010472,M43.27
287,NM010472,M43.28
288,NM010472,M43.29
289,NM010472,M43.3
290,NM010472,M43.82
291,NM010472,M43.84
292,NM010472,M43.86
293,NM010472,M43.89
294,NM010472,M43.92
295,NM010472,M43.94
296,NM010472,M43.96
297,NM010472,M43.99
298,NM010472,M45.X2
299,NM010472,M45.X9
300,NM010472,M46.1
301,NM010472,M46.18
302,NM010472,M46.2
303,NM010472,M46.22
304,NM010472,M46.24
305,NM010472,M46.26
306,NM010472,M46.28
307,NM010472,M46.29
308,NM010472,M46.39
309,NM010472,M46.42
310,NM010472,M46.44
311,NM010472,M46.46
312,NM010472,M46.49
313,NM010472,M46.51
314,NM010472,M46.52
315,NM010472,M46.54
316,NM010472,M46.56
317,NM010472,M46.59
318,NM010472,M46.89
319,NM010472,M46.91
320,NM010472,M46.92
321,NM010472,M46.94
322,NM010472,M46.96
323,NM010472,M46.97
324,NM010472,M46.99
325,NM010472,M47.12
326,NM010472,M47.14
327,NM010472,M47.16
328,NM010472,M47.17
329,NM010472,M47.19
330,NM010472,M47.22
331,NM010472,M47.24
332,NM010472,M47.27
333,NM010472,M47.29
334,NM010472,M48.00
335,NM010472,M48.01
336,NM010472,M48.02
337,NM010472,M48.04
338,NM010472,M48.06
339,NM010472,M48.07
340,NM010472,M48.09
341,NM010472,M48.12
342,NM010472,M48.13
343,NM010472,M48.14
344,NM010472,M48.15
345,NM010472,M48.16
346,NM010472,M48.17
347,NM010472,M48.19
348,NM010472,M48.20
349,NM010472,M48.30
350,NM010472,M48.41
351,NM010472,M48.42
352,NM010472,M48.44
353,NM010472,M48.46
354,NM010472,M48.48
355,NM010472,M48.49
356,NM010472,M48.52
357,NM010472,M48.54
358,NM010472,M48.56
359,NM010472,M48.59
360,NM010472,M48.8
361,NM010472,M48.82
362,NM010472,M48.89
363,NM010472,M48.94
364,NM010472,M48.97
365,NM010472,M48.99
366,NM010472,M49.4
367,NM010472,M49.49
368,NM010472,M53.09
369,NM010472,M53.12
370,NM010472,M53.21
371,NM010472,M53.22
372,NM010472,M53.23
373,NM010472,M53.24
374,NM010472,M53.26
375,NM010472,M53.27
376,NM010472,M53.28
377,NM010472,M53.29
378,NM010472,M53.92
379,NM010472,M53.93
380,NM010472,M53.94
381,NM010472,M53.96
382,NM010472,M53.97
383,NM010472,M53.98
384,NM010472,M90.78
385,NM010472,M90.79
386,NM010472,M99.1
387,NM010472,M99.11
388,NM010472,M99.13
389,NM010472,M99.6
390,NM010472,M99.61
391,NM010472,M99.63
392,NM010472,M99.7
393,NM010472,M99.8
394,NM010472,R52.1
395,NM010472,R52.2
396,NM010472,R52.9
397,NM020473,H44.2
398,NM020473,H52.0
399,NM020473,H52.1
400,NM020473,H52.2
401,NM020473,H52.3
402,NM020473,H52.5
403,NM020473,H52.6
404,NM020473,H52.7
405,NM020484,H18.6
406,NM020484,H18.4
407,NM020704,H20.2
408,NM020704,H25.0
409,NM020704,H25.1
410,NM020704,H25.2
411,NM020704,H25.8
412,NM020704,H25.9
413,NM020704,H26.0
414,NM020704,H26.1
415,NM020704,H26.2
416,NM020704,H26.3
417,NM020704,H26.4
418,NM020704,H26.8
419,NM020704,H26.9
420,NM020704,H27.0
421,NM020704,H27.1
422,NM020704,H27.8
423,NM020704,H27.9
424,NM020704,H28.0
425,NM020704,H28.1
426,NM020704,H28.2
427,NM020704,Q12.0
428,NM020704,Q12.1
429,NM020704,Q12.2
430,NM020704,Q12.3
431,NM020704,Q12.4
432,NM020704,Q12.8
433,NM020704,Q12.9
434,NM020704,T90.4
435,NM020770,H20.2
436,NM020770,H25.0
437,NM020770,H25.1
438,NM020770,H25.2
439,NM020770,H25.8
440,NM020770,H25.9
441,NM020770,H26.0
442,NM020770,H26.1
443,NM020770,H26.2
444,NM020770,H26.3
445,NM020770,H26.4
446,NM020770,H26.8
447,NM020770,H26.9
448,NM020770,H27.0
449,NM020770,H27.1
450,NM020770,H27.8
451,NM020770,H27.9
452,NM020770,H28.0
453,NM020770,H28.1
454,NM020770,H28.2
455,NM020770,Q12.0
456,NM020770,Q12.1
457,NM020770,Q12.2
458,NM020770,Q12.3
459,NM020770,Q12.4
460,NM020770,Q12.8
461,NM020770,Q12.9
462,NM020770,T90.4
463,NM020772,H20.2
464,NM020772,H25.0
465,NM020772,H25.1
466,NM020772,H25.2
467,NM020772,H25.8
468,NM020772,H25.9
469,NM020772,H26.0
470,NM020772,H26.1
471,NM020772,H26.2
472,NM020772,H26.3
473,NM020772,H26.4
474,NM020772,H26.8
475,NM020772,H26.9
476,NM020772,H27.0
477,NM020772,H27.1
478,NM020772,H27.8
479,NM020772,H27.9
480,NM020772,H28.0
481,NM020772,H28.1
482,NM020772,H28.2
483,NM020772,Q12.0
484,NM020772,Q12.1
485,NM020772,Q12.2
486,NM020772,Q12.3
487,NM020772,Q12.4
488,NM020772,Q12.8
489,NM020772,Q12.9
490,NM020772,T90.4
491,NM020775,H25.2
492,NM020775,H26.0
493,NM020775,Q15.9
494,NM020775,H20.2
495,NM020775,H25.0
496,NM020775,H25.1
497,NM020775,H25.9
498,NM020775,H26.1
499,NM020775,H26.2
500,NM020775,H26.3
501,NM020775,H26.4
502,NM020775,H26.9
503,NM020775,H27.0
504,NM020775,H27.1
505,NM020775,H27.9
506,NM020775,H28.0
507,NM020775,H40.0
508,NM020775,H40.1
509,NM020775,H40.2
510,NM020775,H40.3
511,NM020775,H40.4
512,NM020775,H40.5
513,NM020775,H40.6
514,NM020775,H40.9
515,NM020775,H57.0
516,NM020775,Q12.0
517,NM020775,Q12.1
518,NM020775,Q12.2
519,NM020775,Q12.3
520,NM020775,Q12.4
521,NM020775,Q12.9
522,NM020775,Q13.9
523,NM020775,Q15.0
524,NM020775,T90.4
525,NM030409,C30.0
526,NM030409,C41.0
527,NM030409,C44.3
528,NM030409,D14.0
529,NM030409,D16.4
530,NM030409,D48.0
531,NM030409,J34.1
532,NM030409,J34.2
533,NM030409,J34.8
534,NM030409,Q30.1
535,NM030409,Q30.3
536,NM030409,Q30.8
537,NM030409,Q30.9
538,NM030409,Q67.4
539,NM030409,Q75.8
540,NM030409,S01.2
541,NM030409,S03.1
542,NM030412,C30.0
543,NM030412,C78.3
544,NM030412,D14.0
545,NM030412,D38.5
546,NM030412,J31.0
547,NM030412,J34.0
